Series Name,Series Code,Country Name,Country Code,1970 [YR1970],1980 [YR1980],1990 [YR1990],2000 [YR2000],2010 [YR2010],2017 [YR2017],[YR1970],[YR1980],[YR1990],[YR2000],[YR2010],[YR2017]
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Afghanistan,AFG,..,..,1.773252925,7.49507199,3.950253586,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Albania,ALB,..,..,..,4.997419851,1.202942866,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Algeria,DZA,..,..,1.943082488,3.417370184,2.848186028,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,American Samoa,ASM,..,..,..,..,..,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Andorra,AND,..,..,..,..,..,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Angola,AGO,..,..,2.334514395,1.750695324,1.221502452,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Argentina,ARG,..,..,0.6303706186,0.6215671025,0.5717744951,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Armenia,ARM,..,..,..,3.291165438,4.02224083,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Aruba,ABW,..,..,..,..,..,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Australia,AUS,..,..,0.8001749088,0.5373273836,0.4836594734,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Austria,AUT,..,..,1.205062383,1.038679128,0.6023068084,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Azerbaijan,AZE,..,..,..,2.482485084,1.832259074,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,"Bahamas, The",BHS,..,..,..,2.023728213,0.4058039401,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Bahrain,BHR,..,..,3.69192714,6.940624918,2.724997865,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Bangladesh,BGD,..,..,0.2978097309,0.2878225453,0.3753831251,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Barbados,BRB,..,..,..,0.4138187888,0.4006568144,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Belarus,BLR,..,..,..,1.896951593,3.592687367,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Belgium,BEL,..,..,2.684370002,0.8909182783,0.731185867,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Belize,BLZ,..,..,1.616762595,1.229572332,0.7557110161,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Benin,BEN,..,..,0.3069672353,0.268363311,0.1975500524,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Bermuda,BMU,..,..,..,..,..,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Bhutan,BTN,..,..,..,2.73841309,..,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Bolivia,BOL,..,..,1.089755931,1.922716201,1.784432414,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Bosnia and Herzegovina,BIH,..,..,..,5.145614109,0.6995615587,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Botswana,BWA,..,..,1.254959705,1.573091329,1.290449445,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Brazil,BRA,..,..,0.4921929358,0.8457885922,0.7332723027,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Brunei Darussalam,BRN,..,..,3.636859572,5.602240896,4.75847523,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Bulgaria,BGR,..,..,3.204388572,3.310948066,1.906448445,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Burkina Faso,BFA,..,..,0.2589543836,0.2353512586,0.1938647643,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Burundi,BDI,..,..,0.4652556754,1.676227302,1.312919176,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Cabo Verde,CPV,..,..,0.8797395971,0.7924505874,0.6110259635,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Cambodia,KHM,..,..,2.79726707,6.452487111,2.348219465,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Cameroon,CMR,..,..,0.4705597369,0.3436747823,0.2705798421,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Canada,CAN,..,..,0.591173896,0.4219214624,0.34737065,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Cayman Islands,CYM,..,..,..,..,..,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Central African Republic,CAF,..,..,0.3314743149,0.3481941298,0.1722765942,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Chad,TCD,..,..,2.211747387,1.118670218,0.7928765333,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Channel Islands,CHI,..,..,..,..,..,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Chile,CHL,..,..,1.900467515,1.92244383,1.296271914,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,China,CHN,..,..,0.5469233429,0.5320819144,0.3775850474,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Colombia,COL,..,..,0.9430944524,1.473411367,1.894775601,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Comoros,COM,..,..,..,..,..,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,"Congo, Dem. Rep.",COD,..,..,0.4037582701,0.5016859131,0.6319206238,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,"Congo, Rep.",COG,..,..,0.9556260359,1.170952875,0.6748738829,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Costa Rica,CRI,..,..,0.6815639507,0.9528358623,0.4723066832,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Cote d'Ivoire,CIV,..,..,0.3286953686,..,..,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Croatia,HRV,..,..,..,5.144965778,1.097641849,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Cuba,CUB,..,..,7.309511545,1.86803659,1.453758727,..,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Curacao,CUW,..,..,..,..,..,..,,,,,,
