Country / territory of asylum/residence,Origin,Value
Aruba,Colombia,0
Aruba,Cuba,0
Aruba,Venezuela (Bolivarian Republic of),17
Afghanistan,Afghanistan,1837079
Afghanistan,Afghanistan,448032
Afghanistan,Afghanistan,32649
Afghanistan,Afghanistan,60545
Afghanistan,Iran (Islamic Rep. of),6
Afghanistan,Iran (Islamic Rep. of),34
Afghanistan,Iraq,0
Afghanistan,Pakistan,101
Afghanistan,Pakistan,75893
Afghanistan,Tajikistan,7
Afghanistan,Turkey,102
Afghanistan,Uzbekistan,0
Angola,Afghanistan,0
Angola,Burundi,94
Angola,Burundi,9
Angola,Central African Rep.,76
Angola,Central African Rep.,9
Angola,Côte d'Ivoire,5938
Angola,Côte d'Ivoire,510
Angola,Cameroon,0
Angola,Dem. Rep. of the Congo,500
Angola,Dem. Rep. of the Congo,38516
Angola,Congo,58
Angola,Congo,0
Angola,Djibouti,0
Angola,Algeria,0
Angola,Eritrea,1767
Angola,Eritrea,34
Angola,Western Sahara,596
Angola,Western Sahara,18
Angola,Ethiopia,57
Angola,Ethiopia,0
Angola,Guinea,9145
Angola,Guinea,107
Angola,Gambia,0
Angola,Guinea-Bissau,268
Angola,Guinea-Bissau,0
Angola,Haiti,0
Angola,Haiti,0
Angola,Iraq,0
Angola,Liberia,478
Angola,Liberia,155
Angola,Libya,0
Angola,Mali,0
Angola,Mali,0
Angola,Mauritania,5403
Angola,Mauritania,306
Angola,Mauritius,0
Angola,Nigeria,0
Angola,Dem. People's Rep. of Korea,0
Angola,Rwanda,67
Angola,Rwanda,273
Angola,Sudan,1670
Angola,Sudan,313
Angola,Senegal,0
Angola,Sierra Leone,1497
Angola,Sierra Leone,374
Angola,Somalia,1731
Angola,Somalia,288
Angola,Chad,780
Angola,Chad,184
Angola,Togo,0
Angola,United Rep. of Tanzania,0
Angola,Uganda,6
Angola,Uganda,6
Angola,South Africa,0
Angola,Zambia,0
Angola,Zambia,7
Angola,Zimbabwe,0
Anguilla,Syrian Arab Rep.,0
Albania,Afghanistan,0
Albania,China,12
Albania,Dem. Rep. of the Congo,0
Albania,Algeria,0
Albania,Egypt,0
Albania,Western Sahara,0
Albania,Iran (Islamic Rep. of),5
Albania,Iran (Islamic Rep. of),2719
Albania,Iran (Islamic Rep. of),12
Albania,Iraq,0
Albania,Iraq,0
Albania,Libya,0
Albania,Morocco,0
Albania,The former Yugoslav Republic of Macedonia,0
Albania,Montenegro,0
Albania,Peru,0
Albania,Palestinian,0
Albania,Russian Federation,0
Albania,Serbia and Kosovo (S/RES/1244 (1999)),5
Albania,Serbia and Kosovo (S/RES/1244 (1999)),60
Albania,Syrian Arab Rep.,22
Albania,Syrian Arab Rep.,0
Albania,Tunisia,0
Albania,Turkey,0
Albania,Turkey,5
Albania,Ukraine,0
Albania,Ukraine,0
Albania,Uzbekistan,0
Albania,Venezuela (Bolivarian Republic of),0
Albania,Stateless,4460
Albania,Yemen,0
United Arab Emirates,Afghanistan,14
United Arab Emirates,Afghanistan,5
United Arab Emirates,Canada,0
United Arab Emirates,China,0
United Arab Emirates,Cameroon,0
United Arab Emirates,Algeria,0
United Arab Emirates,Egypt,0
United Arab Emirates,Eritrea,0
United Arab Emirates,Ethiopia,8
United Arab Emirates,Iran (Islamic Rep. of),7
United Arab Emirates,Iran (Islamic Rep. of),0
United Arab Emirates,Iraq,482
United Arab Emirates,Iraq,697
United Arab Emirates,Jordan,0
United Arab Emirates,Lebanon,0
United Arab Emirates,Lebanon,6
United Arab Emirates,Liberia,5
United Arab Emirates,Libya,0
United Arab Emirates,Morocco,0
United Arab Emirates,Madagascar,0
United Arab Emirates,Pakistan,5
United Arab Emirates,Pakistan,0
United Arab Emirates,Philippines,0
United Arab Emirates,Palestinian,143
United Arab Emirates,Palestinian,5
United Arab Emirates,Rwanda,0
United Arab Emirates,Saudi Arabia,0
United Arab Emirates,Sudan,12
United Arab Emirates,Sudan,8
