Country / territory of asylum/residence,Origin,Value
Afghanistan,Various/Unknown,50
Angola,Dem. Rep. of the Congo,9212
Angola,Namibia,245
Angola,South Africa,2100
Argentina,Various/Unknown,11735
Argentina,Various/Unknown,1550
Australia,Various/Unknown,97915
Austria,Various/Unknown,34938
Burundi,Dem. Rep. of the Congo,25850
Burundi,Rwanda,242200
Burundi,Somalia,30
Burundi,Uganda,300
Burundi,Various/Unknown,23
Belgium,Various/Unknown,25911
Benin,Chad,424
Benin,Chad,320
Benin,Various/Unknown,32
Burkina Faso,Ghana,60
Burkina Faso,Chad,190
Burkina Faso,Various/Unknown,100
Bangladesh,Various/Unknown,145
Bahrain,Iran (Islamic Rep. of),50
Bahrain,Somalia,80
Bahrain,Various/Unknown,1650
Belize,Guatemala,1460
Belize,Nicaragua,60
Belize,El Salvador,3907
Belize,Various/Unknown,25290
Bolivia (Plurinational State of),Various/Unknown,200
Bolivia (Plurinational State of),Various/Unknown,50
Brazil,Various/Unknown,5335
Botswana,Angola,160
Botswana,Various/Unknown,100
Botswana,Various/Unknown,70
Botswana,South Africa,918
Botswana,Zimbabwe,1
Central African Rep.,Sudan,3066
Central African Rep.,Chad,1153
Central African Rep.,Chad,1330
Central African Rep.,Various/Unknown,65
Canada,Various/Unknown,154761
Switzerland,Various/Unknown,40943
Chile,Various/Unknown,58
China,Afghanistan,50
China,Lao People's Dem. Rep.,3800
China,Viet Nam,283426
Cote d'Ivoire,Ghana,100
Cote d'Ivoire,Iran (Islamic Rep. of),70
Cote d'Ivoire,Liberia,271831
Cote d'Ivoire,Chad,60
Cote d'Ivoire,Various/Unknown,220
Cameroon,Chad,49476
Cameroon,Chad,2430
Cameroon,Various/Unknown,400
Dem. Rep. of the Congo,Angola,308242
Dem. Rep. of the Congo,Angola,7000
Dem. Rep. of the Congo,Burundi,13293
Dem. Rep. of the Congo,Rwanda,12596
Dem. Rep. of the Congo,Sudan,70900
Dem. Rep. of the Congo,Uganda,10099
Dem. Rep. of the Congo,Various/Unknown,1305
Congo,Central African Rep.,100
Congo,Cameroon,100
Congo,Dem. Rep. of the Congo,1600
Congo,Rwanda,100
Congo,Chad,550
Congo,Chad,50
Congo,Various/Unknown,540
Colombia,Chile,80
Colombia,Nicaragua,90
Colombia,Various/Unknown,290
Colombia,Various/Unknown,110
Comoros,Various/Unknown,60
Costa Rica,Guatemala,210
Costa Rica,Nicaragua,33021
Costa Rica,Nicaragua,6760
Costa Rica,El Salvador,6277
Costa Rica,El Salvador,50
Costa Rica,Various/Unknown,236702
Cuba,Various/Unknown,3988
Cyprus,Iran (Islamic Rep. of),16
Cyprus,Iraq,15
Cyprus,Iraq,80
Cyprus,Lebanon,50
Cyprus,Various/Unknown,2
Cyprus,Various/Unknown,110
Germany,Stateless,32000
Germany,Various/Unknown,784000
Djibouti,Ethiopia,1426
Djibouti,Somalia,76180
Denmark,Afghanistan,192
Denmark,Argentina,36
Denmark,Burundi,2
Denmark,Benin,1
Denmark,Bangladesh,3
Denmark,Bulgaria,13
Denmark,Bahrain,39
Denmark,Bolivia (Plurinational State of),26
Denmark,Brazil,4
Denmark,Botswana,3
Denmark,Chile,56
Denmark,China,61
Denmark,Dem. Rep. of the Congo,15
Denmark,Comoros,4
Denmark,Cuba,2
Denmark,Czech Rep.,55
Denmark,Algeria,1
Denmark,Ethiopia,289
Denmark,Ghana,10
Denmark,Honduras,4
Denmark,Hungary,31
Denmark,Indonesia,1
Denmark,India,1
Denmark,Iran (Islamic Rep. of),3186
Denmark,Iraq,1440
Denmark,Israel,9
Denmark,Jordan,21
Denmark,Kenya,1
Denmark,Cambodia,16
Denmark,Kuwait,3
Denmark,Lebanon,1547
Denmark,Liberia,1
Denmark,Libya,2
Denmark,Sri Lanka,3500
Denmark,Lesotho,4
Denmark,Morocco,1
Denmark,Myanmar,2
Denmark,Mauritania,1
Denmark,Pakistan,32
Denmark,Peru,1
Denmark,Poland,740
Denmark,Palestinian,4503
Denmark,Romania,199
Denmark,Russian Federation,42
Denmark,Rwanda,2
Denmark,Sudan,2
Denmark,El Salvador,7
Denmark,Somalia,227
Denmark,Serbia and Kosovo (S/RES/1244 (1999)),44
Denmark,Syrian Arab Rep.,46
Denmark,Chad,1
Denmark,Togo,1
Denmark,Thailand,2
Denmark,Tunisia,2
Denmark,Turkey,184
Denmark,Uganda,46
Denmark,Uruguay,118
Denmark,Viet Nam,1668
Denmark,Stateless,79
Denmark,Various/Unknown,14368
Denmark,Yemen,2
Denmark,South Africa,7
Dominican Rep.,Haiti,1935
Dominican Rep.,Haiti,150
Dominican Rep.,Various/Unknown,31
Algeria,Western Sahara,165000
Algeria,Palestinian,4000
Algeria,Various/Unknown,110
Ecuador,Chile,200
Ecuador,Chile,160
Ecuador,Colombia,70
Ecuador,Cuba,90
Ecuador,Iran (Islamic Rep. of),70
Ecuador,Various/Unknown,80
Egypt,Ethiopia,605
Egypt,Somalia,996
Egypt,Stateless,230
Egypt,Various/Unknown,160
Egypt,Various/Unknown,50
Spain,Various/Unknown,8303
Ethiopia,Sudan,387585
Ethiopia,Sudan,18440
Ethiopia,Somalia,386000
Ethiopia,Somalia,20190
Ethiopia,Various/Unknown,179
Finland,Various/Unknown,2348
France,Lao People's Dem. Rep.,1
France,Various/Unknown,193000
Gabon,Somalia,417
United Kingdom,Afghanistan,237
United Kingdom,Angola,81
United Kingdom,Argentina,7
United Kingdom,Bangladesh,8
United Kingdom,Bulgaria,38
United Kingdom,Bolivia (Plurinational State of),1
United Kingdom,Chile,12
United Kingdom,China,97
United Kingdom,Dem. Rep. of the Congo,168
United Kingdom,Colombia,93
United Kingdom,Cuba,5
United Kingdom,Cyprus,11
United Kingdom,Czech Rep.,73
United Kingdom,Djibouti,5
United Kingdom,Algeria,3
United Kingdom,Egypt,4
United Kingdom,Ethiopia,1275
United Kingdom,Ghana,929
United Kingdom,Gambia,1
United Kingdom,Grenada,4
United Kingdom,Guatemala,5
United Kingdom,Guyana,2
United Kingdom,Hungary,23
United Kingdom,India,179
United Kingdom,Iran (Islamic Rep. of),7554
United Kingdom,Iraq,1311
United Kingdom,Israel,2
United Kingdom,Jordan,1
United Kingdom,Kenya,2
United Kingdom,Lao People's Dem. Rep.,4
United Kingdom,Lebanon,492
United Kingdom,Liberia,16
United Kingdom,Libya,91
United Kingdom,Sri Lanka,4513
United Kingdom,Maldives,1
United Kingdom,Malta,1
United Kingdom,Myanmar,11
United Kingdom,Mozambique,1
United Kingdom,Malawi,3
United Kingdom,Nigeria,10
United Kingdom,Nicaragua,2
United Kingdom,Pakistan,315
United Kingdom,Peru,11
United Kingdom,Poland,248
United Kingdom,Romania,67
United Kingdom,Russian Federation,37
United Kingdom,Rwanda,2
United Kingdom,Sudan,116
United Kingdom,Sierra Leone,8
United Kingdom,El Salvador,46
United Kingdom,Somalia,1827
United Kingdom,Serbia and Kosovo (S/RES/1244 (1999)),6
United Kingdom,Seychelles,58
United Kingdom,Syrian Arab Rep.,17
United Kingdom,Turkey,2015
United Kingdom,United Rep. of Tanzania,5
United Kingdom,Uganda,1734
United Kingdom,Uruguay,4
United Kingdom,Stateless,102
United Kingdom,Various/Unknown,19610
United Kingdom,Yemen,5
United Kingdom,South Africa,119
United Kingdom,Zambia,1
United Kingdom,Zimbabwe,3
Ghana,Liberia,7979
Ghana,Various/Unknown,144
Guinea,Liberia,325000
Gambia,Liberia,69
Gambia,Mauritania,1
Gambia,Various/Unknown,8
Guinea-Bissau,Liberia,3004
Greece,Various/Unknown,8488
Greece,Various/Unknown,300
Guatemala,Nicaragua,2511
Guatemala,Nicaragua,1180
Guatemala,El Salvador,2683
Guatemala,Various/Unknown,218183
French Guiana,Suriname,6601
"China, Hong Kong SAR",Viet Nam,8161
"China, Hong Kong SAR",Viet Nam,5462
Honduras,Guatemala,399
Honduras,Guatemala,80
Honduras,Nicaragua,215
Honduras,Nicaragua,27420
Honduras,El Salvador,2206
Honduras,El Salvador,7870
Honduras,Various/Unknown,234280
Hungary,Albania,180
Hungary,Bulgaria,60
Hungary,Czech Rep.,70
Hungary,Romania,29480
Hungary,Russian Federation,540
Hungary,Various/Unknown,14793
Indonesia,Cambodia,1811
Indonesia,Somalia,5
Indonesia,Viet Nam,1457
Indonesia,Viet Nam,289
Indonesia,Various/Unknown,5
India,Afghanistan,11946
India,Afghanistan,2200
India,Iran (Islamic Rep. of),605
India,Iran (Islamic Rep. of),150
India,Sri Lanka,200000
India,Various/Unknown,192
Ireland,Various/Unknown,360
Iran (Islamic Rep. of),Afghanistan,3061110
Iran (Islamic Rep. of),Iraq,1113291
Iraq,Various/Unknown,900
Iceland,Various/Unknown,85
Italy,Afghanistan,394
Italy,Angola,47
Italy,Albania,531
Italy,Argentina,14
Italy,Armenia,1
Italy,Benin,1
Italy,Burkina Faso,2
Italy,Bangladesh,2
Italy,Bulgaria,78
Italy,Bolivia (Plurinational State of),1
Italy,Chile,94
Italy,China,8
Italy,Cote d'Ivoire,1
Italy,Dem. Rep. of the Congo,57
Italy,Colombia,1
Italy,Cuba,4
Italy,Czech Rep.,225
Italy,Algeria,2
Italy,Egypt,7
Italy,Eritrea,43
Italy,Ethiopia,1068
Italy,Ghana,126
Italy,Guinea-Bissau,2
Italy,Honduras,1
Italy,Hungary,142
Italy,Iran (Islamic Rep. of),2755
Italy,Iraq,541
Italy,Israel,1
Italy,Jordan,7
Italy,Cambodia,106
Italy,Lao People's Dem. Rep.,18
Italy,Lebanon,51
Italy,Liberia,7
Italy,Libya,168
Italy,Sri Lanka,118
Italy,Morocco,5
Italy,Myanmar,2
Italy,Mauritania,2
Italy,Namibia,6
Italy,Nigeria,5
Italy,Pakistan,1
Italy,Poland,879
Italy,Palestinian,18
Italy,Romania,869
Italy,Russian Federation,781
Italy,Sudan,64
Italy,Senegal,6
Italy,Sierra Leone,1
Italy,El Salvador,7
Italy,Somalia,583
Italy,Serbia and Kosovo (S/RES/1244 (1999)),34
Italy,Seychelles,2
Italy,Syrian Arab Rep.,32
Italy,Chad,8
Italy,Togo,5
Italy,Tunisia,5
Italy,Turkey,27
Italy,Uganda,27
Italy,Uruguay,26
